#GO term	GO term name	GO category	# positive examples	# negative examples	# unknown examples
27	ribosomal large subunit assembly	P	59	10529	51258
28	ribosomal small subunit assembly	P	51	10549	51246
41	transition metal ion transport	P	72	10332	51442
96	sulfur amino acid metabolic process	P	111	10404	51331
97	sulfur amino acid biosynthetic process	P	86	10411	51349
154	rRNA modification	P	171	10327	51348
160	phosphorelay signal transduction system	P	124	10310	51412
162	tryptophan biosynthetic process	P	63	10455	51328
270	peptidoglycan metabolic process	P	125	10430	51291
271	polysaccharide biosynthetic process	P	192	10287	51367
302	response to reactive oxygen species	P	82	10444	51320
455	enzyme-directed rRNA pseudouridine synthesis	P	54	10431	51361
1101	response to acid chemical	P	75	10523	51248
1510	RNA methylation	P	139	10326	51381
1522	pseudouridine synthesis	P	87	10453	51306
1539	cilium or flagellum-dependent cell motility	P	110	10467	51269
1666	response to hypoxia	P	57	10534	51255
2097	tRNA wobble base modification	P	62	10385	51399
2790	peptide secretion	P	160	10218	51468
5975	carbohydrate metabolic process	P	714	9657	51475
5976	polysaccharide metabolic process	P	230	10255	51361
5996	monosaccharide metabolic process	P	181	10339	51326
6006	glucose metabolic process	P	66	10475	51305
6022	aminoglycan metabolic process	P	134	10420	51292
6023	aminoglycan biosynthetic process	P	79	10475	51292
6024	glycosaminoglycan biosynthetic process	P	79	10475	51292
6066	alcohol metabolic process	P	119	10417	51310
6073	cellular glucan metabolic process	P	53	10490	51303
6081	cellular aldehyde metabolic process	P	205	10365	51276
6089	lactate metabolic process	P	93	10502	51251
6090	pyruvate metabolic process	P	100	10475	51271
6091	generation of precursor metabolites and energy	P	304	10250	51292
6096	glycolytic process	P	57	10373	51416
6099	tricarboxylic acid cycle	P	60	10495	51291
6101	citrate metabolic process	P	60	10497	51289
6163	purine nucleotide metabolic process	P	277	10216	51353
6164	purine nucleotide biosynthetic process	P	136	10370	51340
6165	nucleoside diphosphate phosphorylation	P	58	10454	51334
6206	pyrimidine nucleobase metabolic process	P	64	10484	51298
6213	pyrimidine nucleoside metabolic process	P	54	10449	51343
6220	pyrimidine nucleotide metabolic process	P	68	10440	51338
6259	DNA metabolic process	P	495	9939	51412
6260	DNA replication	P	63	10383	51400
6281	DNA repair	P	229	10013	51604
6310	DNA recombination	P	93	10405	51348
6351	transcription, DNA-templated	P	177	9489	52180
6355	regulation of transcription, DNA-templated	P	807	9332	51707
6364	rRNA processing	P	228	10309	51309
6396	RNA processing	P	434	10057	51355
6399	tRNA metabolic process	P	341	10125	51380
6400	tRNA modification	P	182	10268	51396
6401	RNA catabolic process	P	74	10434	51338
6412	translation	P	268	10029	51549
6417	regulation of translation	P	96	10406	51344
6418	tRNA aminoacylation for protein translation	P	123	10404	51319
6457	protein folding	P	77	10497	51272
6461	protein complex assembly	P	120	10454	51272
6464	cellular protein modification process	P	326	10105	51415
6468	protein phosphorylation	P	72	10379	51395
6473	protein acetylation	P	53	10504	51289
6508	proteolysis	P	132	10313	51401
6518	peptide metabolic process	P	363	9932	51551
6520	cellular amino acid metabolic process	P	910	9504	51432
6525	arginine metabolic process	P	107	10459	51280
6526	arginine biosynthetic process	P	68	10490	51288
6534	cysteine metabolic process	P	59	10477	51310
6547	histidine metabolic process	P	60	10493	51293
6553	lysine metabolic process	P	52	10505	51289
6566	threonine metabolic process	P	51	10505	51290
6568	tryptophan metabolic process	P	72	10492	51282
6573	valine metabolic process	P	55	10511	51280
6575	cellular modified amino acid metabolic process	P	136	10410	51300
6576	cellular biogenic amine metabolic process	P	124	10450	51272
6586	indolalkylamine metabolic process	P	72	10506	51268
6629	lipid metabolic process	P	656	9802	51388
6631	fatty acid metabolic process	P	251	10267	51328
6633	fatty acid biosynthetic process	P	112	10376	51358
6635	fatty acid beta-oxidation	P	67	10326	51453
6643	membrane lipid metabolic process	P	97	10450	51299
6644	phospholipid metabolic process	P	153	10356	51337
6650	glycerophospholipid metabolic process	P	55	10469	51322
6664	glycolipid metabolic process	P	86	10459	51301
6732	coenzyme metabolic process	P	445	10018	51383
6733	oxidoreduction coenzyme metabolic process	P	170	10381	51295
6753	nucleoside phosphate metabolic process	P	456	9935	51455
6757	ATP generation from ADP	P	58	10454	51334
6766	vitamin metabolic process	P	202	10338	51306
6767	water-soluble vitamin metabolic process	P	195	10345	51306
6778	porphyrin-containing compound metabolic process	P	92	10487	51267
6779	porphyrin-containing compound biosynthetic process	P	88	10489	51269
6783	heme biosynthetic process	P	65	10499	51282
6790	sulfur compound metabolic process	P	373	10148	51325
6793	phosphorus metabolic process	P	946	9047	51853
6796	phosphate-containing compound metabolic process	P	877	9131	51838
6811	ion transport	P	708	9549	51589
6812	cation transport	P	402	9897	51547
6818	hydrogen transport	P	91	10271	51484
6820	anion transport	P	408	9985	51453
6865	amino acid transport	P	197	10169	51480
6873	cellular ion homeostasis	P	79	10484	51283
6875	cellular metal ion homeostasis	P	60	10506	51280
6928	movement of cell or subcellular component	P	135	10447	51264
6935	chemotaxis	P	115	10473	51258
6970	response to osmotic stress	P	56	10538	51252
6974	cellular response to DNA damage stimulus	P	486	10027	51333
6979	response to oxidative stress	P	206	10384	51256
6996	organelle organization	P	98	10407	51341
7154	cell communication	P	155	10398	51293
7165	signal transduction	P	173	10215	51458
8033	tRNA processing	P	193	10261	51392
8104	protein localization	P	253	10269	51324
8610	lipid biosynthetic process	P	414	10047	51385
8643	carbohydrate transport	P	215	10209	51422
8652	cellular amino acid biosynthetic process	P	517	9941	51388
8653	lipopolysaccharide metabolic process	P	67	10367	51412
8654	phospholipid biosynthetic process	P	140	10346	51360
9057	macromolecule catabolic process	P	192	10341	51313
9059	macromolecule biosynthetic process	P	887	8371	52588
9060	aerobic respiration	P	53	10446	51347
9061	anaerobic respiration	P	88	10412	51346
9062	fatty acid catabolic process	P	97	10400	51349
9063	cellular amino acid catabolic process	P	187	10335	51324
9064	glutamine family amino acid metabolic process	P	189	10311	51346
9065	glutamine family amino acid catabolic process	P	73	10459	51314
9066	aspartate family amino acid metabolic process	P	173	10351	51322
9067	aspartate family amino acid biosynthetic process	P	99	10422	51325
9069	serine family amino acid metabolic process	P	125	10424	51297
9070	serine family amino acid biosynthetic process	P	86	10462	51298
9072	aromatic amino acid family metabolic process	P	140	10396	51310
